Heading,Review,Star_count
job,good,3
job,good book introverts foung boring sometimes,3
met expectations,page quality not good,3
poor quality pages,book good quality pages bad,2
must read,amazing book simply one best reads,5
super,awesome book love,5
great product,book must read u temperament shyness within,5
best market,indespensable introverts,5
book worth reading,reading book since last week revealed lot even unaware truly masterpiece susan cain one best books introverts,5
awesome,thank susan cain writing remarkable bookms cain clearly demonstrates importance personality types value introversion,5
excellent book,susan cain really taken good examples given reader deep insight thinking introverts extroverts must read would say,5
awesome insights,reading title looked whatever unknowingly years actually meaning full confidence finishing not read title personality types subject feel actually not thanks susan,5
quiet,thoroughly enjoyed reading must read introverts well extroverts found useful understanding introvert behavior,5
proud introvert read book,read book interesting introverts defining meaning introverts actually introvert enjoyed reading congrats susan cain year research recgnozid world,5
nice subject boring times,font small much content could easy wrapped pages english ok could simpler beginners,3
must,definite read introverts make believe also extroverts not underestimate power silent folks,5
quiet,tagline says alla must read introverts want accept changing world extroversion celebrated personally feel not meant introverts even extroverts need know show respect give space introversion case right portal,4
quiet,simply outstanding book not introvert read book gives better understanding people,5
must read,book value money must read reread book written manner feel author sitting next giving practical advise second half book captivating,5
u see urself,not book rather mirror u identify selfonce u know patterns becomes easy plan ur moves,5
good book understand types people,books regards personality psychology author best narrator first chapters extroverts good could relate no complex concepts good read,5
must book want look new way especially introvert,read whole book love concept introversion introvert see whole new complete way,5
eyeopener,introvert always thought something wrong could not quite fit group thanks book know introvert one many go lives quietly showed strengths make best must read introverts glad read,5
world introverts,excellent book understanding coping world introverts personality driven extrovert era book course non fiction book psychology susan cain honours graduate pinceton harvard school law shares sights breakthroughs breakdowns,4
well researched thoughtful unbiased masterpiece,changing circumstances demands society tends give value extrovert society biasedness towards extrovert psychic pain introverts introverts try become extrovert lose power cain argues introvert special role society perhaps make understood introvert gift strongly recommend book every individual extrovert also read book understand deal,5
