Star_count,Heading,Review
4,A Precious Gem,"The book had such an aesthetic appeal the moment I looked at the cover and it never disappointed. Thoroughly researched and succinctly put , the attitudes and behaviours of introverts vis-a-vis extroverts in a world that prefers personality over character is so nicely woven in words with beautiful anecdotes.It helps you explore yourself with much more clarity regarding why we do something that we do.Hugely enriching and educating. Recommended for people either of the -verts to know each oth..."
5,A must-read for all,"This is the best non-fiction book i have ever read, and i have read many. there are many books that provide an insight into human behavior, and even though some are really good, this one tops any list. a result of 7 years of dedicated efforts to research upon the subject, susan has done an amazing job with this book. it is sure to enlighten the perspective of every reader and make a huge impact upon the reader's behavior and understanding of people. it helps greatly if every person in a famil..."
5,Quiet : The Soft Power #Sovereign,"Quiet, is a book which one can't afford NOT to Read.. Undoubtedly I can say that, the one who has read this beautifully written book, must have got enlightened by the glory of being Quiet. The theme of this book is the great example of Quiet Strength that Introverts are bestowed with.. So, here's the clear example of the lines said by Mahatma Gandhi- ""In a gentle way you can shake the world""."
5,An Insightful and Recommended Read,"This is no ordinary book and definitely not a self-help book. Susan's insights are heart-felt but they are presented in a beautifully non-judgmental, crisp way along with a lot of research and details thrown in. It definitely challenges a supposedly common theme of the quiet one being overlooked in a world increasingly focusing on loudness with some fresh perspective. Highly recommended :)"
5,Paradigm changing book,"This is  a great book , this book along with  7 Habits of highly effective people helped me a great deal. Like The 7 Habits of highly ... this book emphasizes character ethic over adaptation of personality .I have read only first half of the book still this book changed the way I looked at the world . In today's world extroverts may appear to be highly successful but introverts should continue being themselves .Instead of adopting traits of extroverted people introverts should discover their..."
5,A Wonderful Gift for Introverts,"This book will surely raise the morale of introverts who are struggling to find their place in an overly extroverted world.  I, being an almost hundred percent introvert, found it very encouraging. Most of the time  introverts struggle against their own personality in order to become more extroverted, or at least act more extroverted. What they do not realize is that they are struggling against their own natural self and trying very hard to become something they are not. Nor do they realize t..."
5,A wonderful book in the Lowest quality paper and the Smallest font available,"For the book: 5/5For the book quality: 1.5/5It took around 7 years for the author to write this wonderful book and it would take just glance for you to hate it. Not because of what it's written inside, it because of its worst quality paper and small fonts.At first Publisher,Penguin India, charging 320 rupees may make you think that it quite less what earlier publisher,Crown Publishing Group, used to charge, but believe me, as soon as you'll get this book in your hand you'll get to know w..."
3,Fair,paper quality is a bit poor
5,An excellent book,I haven't read a better book in 2015. Quiet explores the humane minds of introvert people. If your'e an introvert you'll understand the numerous difficulties you've faced so far in life and learn how to overcome them in the future and if you're an extrovert you'll see introverts in a new light of empathy.
4,A Must Read !!,As a non-fiction reader I can tell you that this book is just awesome. As of introverts or the people who are sad or confused about being an introvert should read this book. There are huge number of experiments or social experiments and logical explanations which actually make the book really special.
5,Most significant book on Personality,"This book will talk to you while you are reading it. You will have moments when you will say ""Hey, yes that is me"" (especially introverts). If you give this book a miss, you will give one of the best reading experiences a miss."
5,Cool,"Interesting Book , this book is also so light . in this price simply i can say it is amazing so if you want to read go for it ."
5,Awesome book,"I bought this book after seeing Susan Cain in the TED videoThis is a fabulous book. I've recently come to the idea that people also fall into two energy types: mental and physical. Those of us who like to sit and think end up being called ""lazy."" People who have lots of physical energy are ""hyperactive"" and forced to take medication. Imagine what might happen if these differences were also embraced"
5,the best book to understand INTROVERSION !!!,QUIET is an amazing book...thoroughly researched..it will make us perceive people differently..it has something to offer to each strata of our society...every person can find himself and his friends in this book...amazing book !!!
2,Slightly disappointed,Ordered through NSPRetail. The book is not original. The paper quality and print is bad.
4,Value-for-money,Ok
3,Nice,book cover had black marks on it
4,Delightful,no doubt the content of the book is to notch..but the flipkart must focus more on package of the product.
3,Nice,pages are very bad.
5,Perfect product!,nothing.... just read the book
5,Excellent,I like myself more  while reading this
5,Best in the market!,packaging were awsome as well as boom
1,Waste of money!,"The book came in a bad condition.... felt devastated when I received it.... really,  really disappointing."
3,Fair,Letters are too small to read
5,Awesome,good
5,Perfect product!,super book
4,Value-for-money,sooooper
5,Simply awesome,good book must read
3,Fair,This book does not give much scientific knowledge. many things are written in American context.
4,Really Nice,lovely book
5,Simply awesome,A must read for every introvert. This book is going to change your life view.
4,Value-for-money,Nice book
3,Does the job,This is a good book. Introverts will start to see themselves in a new light now.
5,Perfect product!,Impressed with the delivery service of Flipkart... Thank you so much
5,Mind-blowing purchase,Nice
1,Best in the market!,good book
5,super,super
5,Excellent,As an introvert... I have to say it shaped my thoughts in a new way...awesome book
4,Really Nice,An informative read. But the font of the book is too small.
3,Nice,Quite helpful for introverts
5,Highly recommend .,"The book is not only for introverts to (re)discover themselves, it is for everybody to discover this variety of wonderful humans called introverts.  :)"
4,Pretty good,A Must read for introverts
5,Worth every penny,Amazing Book..!Worth reading
3,Does the job,Good
3,Does the job,A good book for introverts but I foung it to be boring at sometimes.
3,Met Expectations,Page quality not good..
2,poor quality of pages,book is good but quality of pages is very bad
5,Must read,Amazing book . Its simply one of the best reads .
5,Super!,It's an awesome book. I just love it.
5,Great product,A book you must read if u have any temperament of shyness within.
5,Best in the market!,Indespensable for introverts.
5,A book worth reading!,"i've been reading this book since last week and it has revealed a lot about me ,which even i was unaware of. Truly a masterpiece by Susan Cain and one of the best books for introverts."
5,awesome,"Thank you, Susan Cain, for writing this remarkable book!.Ms. Cain clearly demonstrates the importance of both personality types and the value of introversion."
5,excellent book,Susan Cain has really taken up good examples and given the reader a deep insight of the thinking of introverts and extroverts. A must read i would say.
5,Awesome insights.,"After reading the title it looked that whatever I have been doing unknowingly all these years actually had a meaning. I was so full of confidence after finishing the same. I have not read any other title on the personality types subject, and now I feel that I actually don't have to. Thanks Susan."
5,Quiet,Thoroughly enjoyed reading it. A must read for all introverts as well as extroverts. Found it very useful in understanding introvert behavior.
5,proud to be an introvert after read this book,i read this book its very interesting about introverts its re defining the meaning of introverts actually i am an introvert so i enjoyed while reading it congrats to susan cain for your 8 year research recgnozid by the world.
3,Nice Subject but boring some times,The font is too small. Too much content. Could have been easy if it was wrapped up in 150 pages. English is ok but could have been simpler for beginners.
5,Must Have,A definite read for the introverts which will make them believe and also to extroverts that they should not underestimate the power of Silent folks
4,Quiet,"Tagline says it all!A must read for all the introverts who want to accept themselves in this changing world where extroversion is celebrated. I personally feel, it's not meant for only introverts, even extroverts need to know about and show respect (give space!) to introversion. In that case, here is the right portal."
5,Quiet,Simply Outstanding book. You don't have to be an introvert to read this book. It gives you a better understanding of yourself and other people.
5,Must Read,This book is value for money. it is a must read and can be re-read. The book is written in such a manner that you feel the author is sitting next to you and giving practical advise. The second half of the book is more captivating.
5,U can see urself,"This is not a book rather a mirror where u can identify self.Once u know the patterns, it becomes easy to plan ur moves."
5,good book to understand types of people,"books is  with regards to the Personality psychology, author is a best narrator,             the first chapters on extroverts is good , could relate it ... no complex concepts and a good read"
5,A must book who want to look themselves in a new way especially when you are an introvert,I read the whole book and i love the concept of introversion. I am an introvert and i see myself in a whole new complete way. :)
5,An eye-opener,"A introvert myself I always thought something was wrong with me - I couldn't quite fit in with the group. But thanks to this book, now I know I am just an introvert, one of many who go about their lives quietly. Showed me my strengths, and to make the best of them. Must read for introverts, I am glad I read it!"
4,the world of introverts,"An excellent book in understanding and coping up with the world of introverts in personality driven extrovert era. the book is of course a non fiction book on psychology susan cain a  honours graduate from pinceton and harvard school of law shares her sights, breakthroughs and breakdowns.."
5,"very well researched, thoughtful and unbiased masterpiece...","Changing circumstances and demands of the society tends to give more value to extrovert. Society biased-ness towards extrovert is a psychic pain for introverts, so most of the introverts try to become extrovert, here they lose power of their own being. Cain argues introvert too have a very special role in the society. Perhaps she make you understood that being a introvert is gift. I strongly recommend this book to every individual. Extrovert can also read this book to understand how to deal..."
